Leader,Segment/Region,Motion,Metric,Value,Details
SMB,AMER,New Business,ARR,$2.07M,80% of SMB NB - dominant
SMB,AMER,New Business,Top Use Cases,"IT (40%), Multi-Department (37%)",
SMB,AMER,New Business,Motion,IT-led,Represents 80% of all SMB NB ARR
SMB,EMEA,Expansion,Win Rate,41%,
SMB,EMEA,Expansion,ARR,$0.72M,14% of SMB Expansion
SMB,EMEA,Expansion,Top Use Cases,"Services (41%), IT (27%), Multi-Department (14%)",
SMB,EMEA,Expansion,Motion,Services/Operations focus,Unique pattern
SMB,EMEA,New Business,Win Rate,18%,
SMB,EMEA,New Business,ARR,$0.36M,14% of SMB NB
SMB,EMEA,New Business,Motion,Higher NB win rate than AMER,But smaller scale
SMB,APAC,Expansion,Win Rate,40%,
SMB,APAC,Expansion,ARR,$0.64M,12% of SMB Expansion currently
SMB,APAC,Expansion,Top Use Cases,"Multi-Department (29%), IT (34%), Services (2%)",
SMB,APAC,Expansion,Whitespace,3359 accounts at 7% penetration,MASSIVE OPPORTUNITY
SMB,APAC,Expansion,Motion,High-velocity product-led,Largest single expansion opportunity in ES
SMB,APAC,New Business,Win Rate,18%,
SMB,APAC,New Business,ARR,$0.10M,4% of SMB NB
SMB,APAC,New Business,Motion,Small base,Opportunity to scale with expansion success
SMB,LATAM,Expansion,Win Rate,19%,
SMB,LATAM,Expansion,ARR,$0.27M,5% of SMB Expansion
SMB,LATAM,Expansion,Top Use Cases,"Services (45%), Multi-Department (9%), IT (6%)",
SMB,LATAM,Expansion,Motion,Services/operations focus,Limited scale
SMB,LATAM,New Business,Win Rate,30%,
SMB,LATAM,New Business,ARR,$0.05M,2% of SMB NB
SMB,LATAM,New Business,Motion,High win rate,Very small ARR base
SMB,🎯 PRIORITY,#1 Region,AMER (current scale) + APAC (future growth),,"AMER: 80% SMB NB ARR ($2.07M), 49% Exp ARR ($2.56M). APAC: 3,359 accounts whitespace"
SMB,🎯 PRIORITY,#1 Use Case,IT (AMER) / Multi-Dept (APAC),,"AMER: IT 40% NB, 28% Exp. APAC: Multi-Dept 29% Exp + IT 34%"
SMB,🎯 PRIORITY,AMER Motion,IT-led new business multi-dept expansion,,
SMB,🎯 PRIORITY,APAC Motion,High-velocity expansion pilot,3359 accounts available,
Digital,AMER,Expansion,Win Rate,22%,
Digital,AMER,Expansion,ARR,$0.38M,72% of Digital Expansion
Digital,AMER,Expansion,Top Use Cases,"IT (38%), Multi-Department (19%), Others (19%)",
Digital,AMER,Expansion,Motion,IT-led,Majority of Digital expansion
Digital,AMER,New Business,Win Rate,24%,
Digital,AMER,New Business,ARR,$0.62M,69% of Digital NB - dominant
Digital,AMER,New Business,Top Use Cases,"IT (54%), Multi-Department (20%)",
Digital,AMER,New Business,Motion,IT buyer focus,Dominates Digital NB
Digital,EMEA,Expansion,Win Rate,20%,
Digital,EMEA,Expansion,ARR,$0.08M,16% of Digital Expansion
Digital,EMEA,Expansion,Motion,Limited scale,Opportunistic only
Digital,EMEA,New Business,Win Rate,23%,
Digital,EMEA,New Business,ARR,$0.19M,21% of Digital NB
Digital,EMEA,New Business,Motion,Smaller market,Decent win rate
Digital,APAC,Expansion,Win Rate,16%,
Digital,APAC,Expansion,ARR,$0.02M,5% of Digital Expansion
Digital,APAC,Expansion,Motion,Very limited,Not priority
Digital,APAC,New Business,Win Rate,15%,
Digital,APAC,New Business,ARR,$0.05M,5% of Digital NB
Digital,APAC,New Business,Motion,Minimal scale,
Digital,LATAM,Expansion,Win Rate,44%,Highest Digital WR
Digital,LATAM,Expansion,ARR,$0.04M,7% of Digital Expansion
Digital,LATAM,Expansion,Motion,High win rate,Very small base. Opportunistic
Digital,LATAM,New Business,Win Rate,21%,
Digital,LATAM,New Business,ARR,$0.04M,5% of Digital NB
Digital,LATAM,New Business,Motion,Limited scale,
Digital,🎯 PRIORITY,#1 Region,AMER,,"69% Digital NB ARR ($0.62M), 72% Exp ARR ($0.38M). Others <20%"
Digital,🎯 PRIORITY,#1 Use Case,IT,,"54% AMER Digital NB, 38% AMER Digital Expansion"
Digital,🎯 PRIORITY,Expansion Path,IT → Multi-Department,,
Digital,🎯 PRIORITY,New Business Motion,IT-led prospecting,54% of deals,
Digital,🎯 PRIORITY,Expansion Motion,IT buyer with multi-department growth,,
SUMMARY,AMER,#1 Segment,Commercial,40% Exp / 12% NB,Product-ready highest win rates
SUMMARY,EMEA,#1 Segment,Commercial,49% Exp / 13% NB,Best win rate in entire study
SUMMARY,APAC,#1 Segment,Commercial,32% Exp / 11% NB,Dominates 72% of APAC ARR
SUMMARY,LATAM,#1 Segment,Commercial,41% Exp / 7% NB,Dominates 72% of Expansion ARR
SUMMARY,SMB,#1 Region,AMER + APAC,39-40% Exp / 12-18% NB,APAC: 3359 accounts whitespace
SUMMARY,Digital,#1 Region,AMER,22% Exp / 24% NB,69% of Digital NB from AMER
KEY INSIGHTS,1,Commercial segment wins across all 4 regional leaders,AMER EMEA APAC LATAM,,
KEY INSIGHTS,2,IT use case is primary entry point,For Commercial segment across all leaders,,
KEY INSIGHTS,3,Multi-department expansion is key growth path,After IT entry,,
KEY INSIGHTS,4,EMEA Commercial has best performance,49% expansion win rate,Nearly 1 in 2 deals,
KEY INSIGHTS,5,APAC SMB is biggest opportunity,3359 accounts at 7% penetration,,
KEY INSIGHTS,6,Enterprise has product constraints,Avoid $100K+ until product-ready,,
